yontem,sayfa_id,sayfa_basligi,parca_sayisi,ICC,DCC,BI,SC,ortalama
split_then_merge_1100,33,Butce Degerlendirme Toplantisi,3,0.8271,0.8487,1.0,0.6667,0.8356
split_then_merge_1100,34,Yeni Calisan Oryantasyon Sureci,4,0.8658,0.8581,1.0,1.0,0.931
split_then_merge_1100,37,YZTA Bootcamp 2026 (2).pdf,5,0.5813,0.8848,0.9167,1.0,0.8457
split_then_merge_600,1,Veritabani Temelleri,2,0.8495,0.8431,1.0,0.5,0.7981
split_then_merge_600,22,Proje Durum Raporu,4,0.8493,0.8089,1.0,1.0,0.9146
split_then_merge_600,26,Final Sınav Takvimi,3,0.8547,0.8503,1.0,1.0,0.9263
split_then_merge_600,27,yapılacaklar listesi,1,0.721,0.0,1.0,1.0,0.6802
split_then_merge_600,30,ATLAS-Edge-AI-Tabanli-Otonom-Lazer-Yabani-Ot-Imha-Robotu (6).pdf,5,0.5903,0.8846,1.0,1.0,0.8687
split_then_merge_600,33,Butce Degerlendirme Toplantisi,3,0.8271,0.8487,1.0,0.6667,0.8356
split_then_merge_600,34,Yeni Calisan Oryantasyon Sureci,4,0.8658,0.8581,1.0,1.0,0.931
split_then_merge_600,37,YZTA Bootcamp 2026 (2).pdf,9,0.6346,0.854,0.9167,1.0,0.8513
